data.file,"1-(2-Furanyl)-1,2-butanedione","16,17-Dihydroxy-9(11)-kauren-19-oic acid (i)","16,17-Dihydroxy-9(11)-kauren-19-oic acid (ii)",1-Methyl-2-pyrrolecarboxaldehyde,1-Methyl-2-pyrrolecarboxaldehyde (i),1-Methyl-2-pyrrolecarboxaldehyde (ii),"2,3-Pentanedione",2-Acetyl-5-methylthiophene,2-Ethylthiazole,Dihydroxynicotinamide (i),Dihydroxynicotinamide (ii),2'-Methoxypleurospermine,2-Methyl-5-(1-propenyl)pyrazine,2-Oxobutanoic acid (2-Ketobutyrate),"3-(3,4-Dihydroxyphenyl)-2-propenoic acid","3,4-Dicaffeoylquinic acid lactone","3,4-Dimethyl-1,2-cyclopentanedione",3-Methyl-5-O-Caffeoylquinic acid lactone,4-Coumaric acid,"4-Ethyl-1,2-dimethoxybenzene",4-Methylcatechol,4-O-p-Coumaroylquinic acid 1'-3-Lactone,Adenine,Aspartame (i),Aspartame (ii),Atractyligenin,Baptifoline,Benzenetriol (i),Benzenetriol (ii),Butanedione (iii),Cafamarine,Cafestol,Caffeic acid,Caffeine,Caffeoylquinic acid (i),Caffeoylquinic acid (ii),Caffeoylquinic acid (iii),Caffeoylquinic acid (iv),Caffeoylquinic acid (v),Caffeoylquinic acid derivative (i),Caffeoylquinic acid derivative (ii),Caffeoylquinic acid lactone (i),Caffeoylquinic acid lactone (ii),Campestanol (chalinastanol) (i),Caramel furanone,Cinnamoylglycine,Coixinden A,Coumaroylquinic acid (i),Coumaroylquinic acid (ii),Cyclo(isoleucyl-prolyl) (i),Cyclo(isoleucyl-prolyl) (ii),Cyclo(phenylalanyl-prolyl) (i),Cyclo(phenylalanyl-prolyl) (ii),Cyclo(prolyl-prolyl),Cyclo(prolyl-valyl),Cyclopentanone,Demethoxypleurospermine,"Diacetin (glycerol 1,2-diacetate) (i)","Diacetyl (2,3-Butanedione)",Dicaffeoylquinic acid (i),Dicaffeoylquinic acid (ii),Dihydroxycinnamoyl tryptophan,Ferulic acid,Feruloylquinic acid (i),Feruloylquinic acid (ii),Feruloylquinic acid (iii),Furfuyl alcohol (furanmethanol),Guanosine,Hydroxybenzoic acid (i),Hydroxybenzoic acid (ii),Hydroxycinnamoyl tryptophan,Hydroxyglutarate,Hypoxanthine,Kahweol,Liberine,Linoleic acid,Methionine,Nicotinic acid,Ochratoxin A (i),Ochratoxin A (ii),Paraxanthine,Phenylalanine,Scopoletin,Theobromine,Theophylline,Trigonelline,Trimethylamine,Xanthine
Brew-176.d,896771,886423,2156480,203080,174333,591724,139360,61918,27318,531973,793960,478913,78046,647398,965326,339635,334881,4577999,672379,950743,478355,380664,178969,151833,111717,322754,526242,46514578,5423834,4234910,506823,177118,374392,48844429,36267957,17952993,22027291,4757488,2176446,2982107,1108823,4403217,12473405,345297,3131736,1089275,145248,2176412,456945,6768075,6768075,991427,3218500,2319277,1688281,91498,177840,829671,597838,2639671,2196068,5719013,362818,27036409,5959653,1434926,653486,523013,1511982,272458,2905585,4024826,316495,727174,50902,183389,74349,9094948,103261,92225,287727,8269300,1200464,928329,989489,1791928,817618,436947
Brew-18.d,1360090,2798246,6028347,668827,255239,903074,200078,484161,52829,601367,634369,310762,376502,579482,532875,444879,746513,7770140,1186304,3346484,633882,1069559,120381,147070,342481,668961,179720,6744016,13896066,495194,977740,626480,847016,58497711,37802874,16243302,21443676,8064537,2843279,3412923,1179348,10898092,23599711,381393,2785127,880925,319313,3362181,720514,4812572,4235096,596436,678285,1600988,2027092,203901,455099,1127344,2344338,1610237,1201899,2775954,740713,20547974,3721560,1642034,850407,330991,1889442,870722,1383313,4396773,417726,350081,321549,146775,143619,10125442,36022,62531,502686,805381,2407239,1607282,203674,2250953,665830,371324
Brew-20.d,676249,76647,99638,114680,177896,262524,148098,267906,17023,211222,433484,388373,50961,213274,510351,,381667,2348501,528827,1664364,113574,120244,165346,86100,60555,54180,1104872,19546834,3677329,1648753,35122,,496977,26348955,6766687,3618024,4206843,2185473,693070,893583,376770,607835,2635597,361973,421447,333024,,428418,99860,7393450,8503914,2152738,2861488,1963568,2896399,76421,227871,607932,661995,215200,144573,574990,120392,7949912,2347780,1625568,892662,82812,2207884,1253875,248500,624047,320662,369817,,154007,268870,6686780,172067,21264,,2821972,874024,159656,62010,1056513,702524,295987
Brew-21.d,1158907,702010,1255019,120891,64672,584582,154593,826721,41582,281094,426864,872949,46099,611244,459635,,291790,2844114,410329,3663255,341778,155221,199045,278873,105649,244326,1444036,24020847,5849886,2148940,125134,125697,291211,33572035,25249139,14492421,15037942,6355088,2397842,2418917,1155566,1457715,5753810,379421,1305083,1222123,144645,1469035,446767,7705425,13836549,3091041,4937300,2892883,3420968,72702,224685,803965,527621,1277946,884984,1915897,178505,22357906,6346491,3252008,841337,137051,1589413,440960,1251611,2322239,464485,355188,,164353,621892,5994126,219285,68596,206202,6642490,1365111,1142514,914880,2040816,574534,464541
Brew-24.d,667544,503880,1206033,276341,109628,375921,100309,,22804,372019,262403,58386,126450,539933,478733,315964,332948,2440215,617639,2689825,390442,314844,,120466,86969,179640,26507,14116611,5143071,922222,836594,92719,363538,55570111,33864828,12771839,16413821,3377999,1555627,3027764,800918,4243176,10792170,384146,2751494,593537,120695,1888726,361769,2195774,2859290,142504,263090,833217,602247,90743,50371,500136,1035643,440664,340414,194099,339171,13458789,2328134,597992,487299,192604,1142545,359033,55168,4397220,,377490,38279,183891,22684,,,61831,219614,199192,677655,838496,86715,842456,548033,148807
Brew-25.d,1153376,1088923,1787543,631975,207680,694245,176565,369154,47420,323901,382869,181581,160026,457103,497095,,971320,4430068,1126560,2283880,364606,517616,116262,140746,212810,484778,139181,3201285,13708034,310762,109752,159366,1159598,39587398,24554755,10306752,12492948,6731912,2121112,2127336,733835,5350362,13108027,357365,1352048,576049,188180,1771666,395038,3978792,2781941,620072,584421,1639917,1432278,151487,307997,919794,2722013,553550,367233,290947,684165,11069308,2575955,1639968,974892,128183,2157051,1240408,90290,2155804,481611,385271,,171022,93592,7345092,48083,60082,,478298,1912775,348506,,1985271,547930,266646
Brew-26.d,490286,497428,1129205,321598,148996,331244,99365,111311,9232,126494,216865,113477,118031,163386,583572,201419,264833,2405504,522884,2998033,105386,258848,59602,28857,38293,144196,81413,1209275,3312811,152760,117276,73857,367860,96983765,8462675,3250453,4745482,1345109,479934,1071892,310529,2481751,6526615,388656,696882,295180,57797,520396,105131,1840016,1344880,345533,328311,744578,850126,93371,95831,242877,1280771,265558,180953,549100,126951,4130099,1087586,505101,335539,86543,957248,724402,315571,682225,205994,392424,126400,185295,41762,3477419,13860,27665,223966,199185,675734,442501,434447,560654,675691,75455
Brew-27.d,1382438,2137478,3124433,1957164,603063,1791123,505590,883751,72426,738721,1191468,306725,620844,640751,535107,485159,2032902,4932083,1587606,1275583,483555,829227,270870,122494,360627,518638,377969,4421365,35714211,341369,341133,391556,2331227,22857367,24432777,10425254,12777316,8687722,2703540,1889918,690770,6512650,16109358,350342,4303502,605566,606393,2448172,847514,7184124,5085616,1317495,974480,3058406,3732160,515803,478033,1793779,10293075,574745,403679,787988,845894,11363265,2372545,1765887,1997272,273361,3724966,3219993,384587,4053802,788604,409671,59707,192526,273552,17521319,136654,51004,574033,860134,2953927,3003706,89877,3519958,525188,540923
Brew-30.d,574306,976194,3176083,352583,112857,417864,77977,,17020,92135,121160,87893,64955,227779,637617,,281968,2855830,577804,2870136,203619,459382,,68761,49452,282060,38485,5765770,4139558,392358,253342,224223,277614,23554905,17086223,5964016,9143691,2109807,684051,1756881,456445,5252197,12065944,346406,1505652,535247,80267,1018420,192999,778497,707817,157086,258510,644615,468487,95757,71866,282267,1195695,449413,405501,272150,414631,5684390,1158252,462449,333500,119104,831258,363999,90302,1282911,,422528,,164438,27150,,,38874,101229,231265,748314,418552,,718304,681490,78024
Brew-31.d,578149,696747,1194068,364226,128527,310021,134063,84863,12351,36036,139100,68729,85299,116351,617307,174425,398693,2249421,637224,3104557,58712,203507,54792,28707,120859,209481,71235,708378,4938910,84766,119498,85630,631850,93160712,5387433,2002683,2862954,1555879,416951,699385,212112,2521142,6731871,364728,817733,187834,124372,370414,80725,1929414,1247108,356963,308464,954882,644351,112472,112618,213766,1910680,96444,74182,206511,327590,2581153,648344,449011,477535,57492,1255956,833791,106719,369510,290497,351825,64522,175002,31238,5259412,17139,14477,110181,253496,912236,375877,128378,640643,675993,
