data.file,"1-(2-Furanyl)-1,2-butanedione","16,17-Dihydroxy-9(11)-kauren-19-oic acid (i)","16,17-Dihydroxy-9(11)-kauren-19-oic acid (ii)",1-Methyl-2-pyrrolecarboxaldehyde,1-Methyl-2-pyrrolecarboxaldehyde (i),1-Methyl-2-pyrrolecarboxaldehyde (ii),"2,3-Pentanedione",2-Acetyl-5-methylthiophene,2-Ethylthiazole,Dihydroxynicotinamide (i),Dihydroxynicotinamide (ii),2'-Methoxypleurospermine,2-Methyl-5-(1-propenyl)pyrazine,2-Oxobutanoic acid (2-Ketobutyrate),"3-(3,4-Dihydroxyphenyl)-2-propenoic acid","3,4-Dicaffeoylquinic acid lactone","3,4-Dimethyl-1,2-cyclopentanedione",3-Methyl-5-O-Caffeoylquinic acid lactone,4-Coumaric acid,"4-Ethyl-1,2-dimethoxybenzene",4-Methylcatechol,4-O-p-Coumaroylquinic acid 1'-3-Lactone,Adenine,Aspartame (i),Aspartame (ii),Atractyligenin,Baptifoline,Benzenetriol (i),Benzenetriol (ii),Butanedione (iii),Cafamarine,Cafestol,Caffeic acid,Caffeine,Caffeoylquinic acid (i),Caffeoylquinic acid (ii),Caffeoylquinic acid (iii),Caffeoylquinic acid (iv),Caffeoylquinic acid (v),Caffeoylquinic acid derivative (i),Caffeoylquinic acid derivative (ii),Caffeoylquinic acid lactone (i),Caffeoylquinic acid lactone (ii),Campestanol (chalinastanol) (i),Caramel furanone,Cinnamoylglycine,Coixinden A,Coumaroylquinic acid (i),Coumaroylquinic acid (ii),Cyclo(isoleucyl-prolyl) (i),Cyclo(isoleucyl-prolyl) (ii),Cyclo(phenylalanyl-prolyl) (i),Cyclo(phenylalanyl-prolyl) (ii),Cyclo(prolyl-prolyl),Cyclo(prolyl-valyl),Cyclopentanone,Demethoxypleurospermine,"Diacetin (glycerol 1,2-diacetate) (i)","Diacetyl (2,3-Butanedione)",Dicaffeoylquinic acid (i),Dicaffeoylquinic acid (ii),Dihydroxycinnamoyl tryptophan,Ferulic acid,Feruloylquinic acid (i),Feruloylquinic acid (ii),Feruloylquinic acid (iii),Furfuyl alcohol (furanmethanol),Guanosine,Hydroxybenzoic acid (i),Hydroxybenzoic acid (ii),Hydroxycinnamoyl tryptophan,Hydroxyglutarate,Hypoxanthine,Kahweol,Liberine,Linoleic acid,Methionine,Nicotinic acid,Ochratoxin A (i),Ochratoxin A (ii),Paraxanthine,Phenylalanine,Scopoletin,Theobromine,Theophylline,Trigonelline,Trimethylamine,Xanthine
Brew-52.d,501562,575055,1459998,253926,118394,343547,71492,89939,10579,227463,223150,103711,133218,220953,595257,237501,212490,3611264,429926,2257469,153846,314493,34244,52488,45836,157762,50566,4289029,2685875,325081,227687,100167,190234,100533922,17956062,6061402,9171050,1712987,603038,1939414,519216,4384997,10906839,373947,1239872,422680,64038,825232,136684,1511692,1525258,188599,283212,560615,602567,71814,65530,182131,970394,584190,562665,1493876,141585,8894916,1783248,513555,284264,178780,665463,316492,592156,1107350,184158,417680,67181,206584,20266,2754456,8912,44209,216448,235429,669545,486280,555151,513166,638437,140271
Brew-53.d,775596,1166397,2198947,352339,147348,425887,121457,307356,37940,446243,501512,160892,209535,669060,563880,329559,495602,3525934,679661,2504290,558940,361858,87191,185837,185516,282868,81993,7758538,6942988,604742,1014256,173831,497267,59478954,38668688,17117182,20037528,6460679,2515497,2992693,980586,4898780,11638485,372377,2711753,495470,162819,2608398,561834,3444420,3446590,318949,424122,1071217,1260833,142567,152198,718240,1571555,661564,407900,273652,237633,18070549,3319306,1233360,578035,352092,1245234,519455,93806,4182968,271071,448779,63823,172229,37734,9044711,12004,76790,276219,,867432,1088006,114353,977776,518441,245724
Brew-55.d,658302,1035947,2779126,252423,114334,329729,36156,2195,17855,182012,211505,139044,123304,285727,623848,247380,276677,3739377,585111,1416447,348646,565280,,95881,122094,328146,59732,5110219,4556216,353312,651365,203971,352675,65769651,28473936,11193269,14182845,3995260,1349086,2520396,739073,6458096,15345904,362655,858379,622425,124392,1715593,326437,1942699,2057886,184985,302175,742308,621362,51693,90959,414400,780457,967487,853343,313689,488507,11253775,2203137,691795,342050,161468,823091,281997,103013,2420893,,548338,42528,179516,55496,1015284,,61373,172039,243685,877444,624559,103748,743535,579099,226226
Brew-57.d,560038,943814,3003532,338626,116635,404120,61394,100201,15386,93963,90111,74690,60762,226132,616549,,271376,2347096,541595,2880966,197238,410960,37041,60456,43637,278325,41950,5570223,4034866,357057,213183,218717,274377,22614076,16305652,5456676,7399450,1960315,669366,1717523,463130,4894720,11628612,356425,1441918,488852,73531,1052631,173437,739340,678382,159965,241172,580403,448754,91635,82758,301366,1162724,457684,409545,250954,353187,5472692,1100674,435204,328811,109106,799148,342594,98572,1140785,197553,456487,,183562,23087,2790148,4695,39207,86677,170868,723239,407368,,681503,642379,130162
Brew-59.d,492366,548483,1285779,290777,132969,318148,84439,101053,10645,94857,215478,86120,107161,127094,631930,198658,271979,2537305,450982,2069036,118754,289816,55415,46771,47701,151021,73969,1388004,3140830,153208,111501,83464,405566,96018666,8763556,3222696,4516934,1427458,432157,971283,271506,2929618,7383727,400663,743445,293920,66899,650819,198210,1816222,1314814,345607,323350,715426,760039,90621,100842,195769,1202187,219092,175685,501350,155039,4159743,1017272,448910,369985,78886,892194,596155,286245,760815,224010,434333,125396,175985,23768,4600704,16858,19097,220938,404723,612495,471399,409455,528140,582933,70462
Brew-61.d,471572,638073,1366318,338121,155630,380658,58430,87481,10382,203447,277113,121019,134990,176638,682645,207356,244797,3457941,412645,2770636,135697,303010,55409,36983,38213,170083,62899,3782832,2622028,276761,247094,89902,270745,98473962,12580559,4338414,6385451,1420518,477605,1382327,397978,3732186,9068699,336824,1556402,283271,57027,734370,124623,1608938,1354145,260512,294564,606246,636687,96822,95321,192273,1108580,381903,322422,958479,100727,6605930,1384647,519009,289930,153180,754256,420352,508526,834562,212350,505180,73742,230423,17742,2736268,11745,30880,149182,204910,683362,471032,761724,448860,553243,176580
Brew-63.d,509855,201103,180371,112029,99946,271833,115571,126722,8179,124894,297624,286865,39903,166719,662407,221022,188994,3221546,232631,2468513,95610,170598,83408,88744,,51422,348445,23760489,1955369,1794906,50283,10423,162623,89626705,10719708,4770825,6208011,1901411,618805,1194964,417243,2088699,6134659,351649,752007,437693,,464467,102778,3263888,4963747,604059,1684846,1017759,1027903,57423,90492,369111,388737,561249,465101,2425390,149564,9663461,2303821,914573,352843,143456,862580,215873,1501154,631551,190118,347020,104190,178127,57562,1557377,40095,36745,172945,1822191,630358,324668,621540,619911,658232,214815
Brew-64.d,641039,1293535,3994132,241002,118955,304293,72403,132284,21414,107429,159606,141490,57727,303721,696470,,334608,3644707,602555,1633937,312480,571865,39459,75770,73672,384265,52856,5675964,3867193,385825,303145,303308,338985,26911414,23851384,9210750,11109280,3279194,1107997,2237265,684599,6058760,14086071,354682,966437,605156,93084,1558136,288479,986307,905195,195620,306489,737658,610382,70754,124602,339554,777512,742599,618753,358828,476026,9686864,1942277,711047,368801,168469,873513,342643,157722,1714569,241675,512976,,217040,31775,3200817,9608,40192,123670,314527,986973,527129,61533,835016,759606,149880
Brew-66.d,725532,585932,1532000,494369,125871,574415,90478,166334,18315,168714,192992,79102,110185,304333,666351,248198,373420,3412145,812839,2163357,188377,451241,48404,47433,66105,234552,67361,5691798,7797120,381477,220217,104024,502583,92939703,18425332,5757066,8379500,3222507,993053,1811976,484600,5938535,13695318,373000,2267718,595569,93154,1057115,145151,2237458,1970927,222787,319720,886275,666941,117958,70250,458379,1782966,421377,323166,406135,480588,6842413,1256895,599450,546220,81632,1407517,498875,191972,1355746,283374,429892,,183914,39779,4421635,16510,31774,108259,406268,929229,495490,,948275,666066,137699
Brew-67.d,520427,527617,1232998,323960,160488,341876,77711,121369,9312,155838,229682,104488,132223,180495,661342,210133,260490,2616426,529679,1718757,143720,299705,71450,50929,46489,161249,88537,1354501,3469947,153342,130829,96106,440608,97784324,9367898,3620469,4832021,1660437,529917,1136711,344202,2642001,7218121,359902,674327,331679,58859,639346,117177,2042191,1469284,364525,363071,825780,865119,107975,108166,224242,1212401,234001,185077,561060,186972,5054794,1171299,528271,369920,102266,960640,747258,323331,758002,214512,483296,171960,144053,30741,4280154,18779,20255,236215,273820,776680,483477,466501,592284,575259,144303
Brew-71.d,,,,,,,,,,,,,,,743990,,,,,1584917,,,,,,,,,,,,,,534309,18804,,,,,,812,,43793,351263,,,,,,,,,,,,,,,,,,,,37727,,,22540,,66919,,,,,449569,,200069,,,,,,116019,,,,,679147,
Brew-72.d,566553,958274,1672333,388666,192536,328830,123545,111351,11876,103500,234178,90436,134382,84015,706745,195867,385301,2136253,699087,1505304,105188,325378,64641,,85274,259642,116115,664252,4849792,74890,93649,119340,593204,94698317,4570759,1822880,2569403,1387451,385472,698098,198969,2447629,6585267,371502,631323,190067,82123,498123,132496,2081130,1319473,467528,409348,981669,865441,112869,138316,235849,1813823,109774,80200,100934,332002,2592704,625537,389896,450476,69522,1231197,1031323,70360,446620,266212,511299,115268,191236,36234,6162847,32283,16692,176603,405996,781428,472572,102369,598570,561101,92086
Brew-73.d,550547,464112,409684,91184,114885,313543,102143,148490,13809,175583,372337,235218,33431,187755,709978,249273,145113,2640923,216795,2538450,192828,144791,117007,102371,36787,102233,442090,29673189,1865416,2443393,159040,26936,86001,57721070,20825327,9248153,11823257,2207497,812606,2271874,824464,1515204,5260552,360553,872186,729913,35530,895305,204203,5020591,7793042,1002685,2390424,1531946,1436992,39215,79765,477097,275438,956976,715982,3443922,125062,16285270,4196538,1184969,449151,329595,1015321,176736,755062,2150089,247670,470569,46887,174622,129776,1917087,79013,61702,225530,1865959,908355,581996,1443476,808943,606539,143537
Brew-74.d,512509,514067,1153207,324628,143237,349797,87223,99595,12084,155139,228404,87364,109592,170397,682227,220910,251211,2416043,456862,2022569,115185,269079,75503,30022,45651,145362,84855,1324520,3246383,149982,117866,73364,413852,97411262,8344384,3229886,4402486,1378943,472915,1082892,329508,2479472,6714517,352760,763789,325375,61785,624305,162446,1880346,1357981,355738,353225,774714,809045,105549,130564,208329,1232069,227788,181213,556520,151539,4426027,1091717,504996,375826,93369,986861,706407,303958,764802,259657,415907,141185,248374,33934,4426771,19904,25277,223679,915296,670034,482787,454993,559967,747914,213941
Brew-76.d,1151257,1806767,3875487,547100,237895,690762,129043,286051,31830,313857,426933,115639,216691,392709,735222,365787,544368,5509198,1054597,1336389,308496,851496,92196,79214,129522,468223,139379,5126355,9475203,393586,366105,312188,672571,63552104,23046117,8756830,12527288,4521629,1441304,2300788,631366,8541797,19032451,364337,2185368,833990,248376,1663709,314497,3409834,2738762,445531,565361,1287046,1183580,135478,209844,641612,1546452,656853,565737,557724,765473,9494171,1686460,860946,674599,171119,1779473,741569,265683,1965664,357708,467627,50646,172783,82216,5042138,27406,49948,256968,515177,1554102,1198208,58277,1596500,834052,241784
Brew-78.d,420139,398219,1109377,205557,90646,272312,29025,70370,8555,184598,196282,99339,106058,199425,689574,194948,177258,3247684,333971,1933828,123884,254181,23839,45082,27368,142394,41531,5463480,2077631,339519,191584,74128,160608,94865869,14513845,4860615,6829700,1378080,482138,1717022,443091,3973203,9653477,390680,1158424,364439,41222,677667,165104,1230048,1279723,145442,221256,446207,467780,57324,55889,202707,679547,525913,485693,1286179,150025,7840942,1610772,468794,247342,170181,595216,177054,572497,903503,220651,420900,70543,223015,,2424478,3201,33102,161912,389527,631947,394042,344082,414468,528972,155226
Brew-80.d,,,,,,,,,,,,,,,684545,,,,,2823877,,,,,,,,,,,,,,633736,,,,,,,,,22307,345122,,,,,,,,,,,,,,,,,,11434,,51821,,,20339,,59320,,,,,487626,,191551,,,,,,94601,,,,,630615,
Brew-82.d,1132406,2253499,6233384,448451,203080,711846,116292,566568,45681,759857,628365,255415,232648,873171,726441,406836,498677,5562829,836425,1425047,899605,896266,98503,258542,152327,640439,60546,17150242,10401094,1379297,2155599,580577,571976,57435034,53456920,24087099,30928518,7076536,3344848,4400780,1402917,10051681,22049887,348302,4319925,1575479,210730,4793598,841458,2833064,4006884,258425,475422,1095325,1090545,166269,173059,912595,1672384,2785058,2433652,937393,911627,26694047,4408003,1135323,657305,479168,1453557,431571,300499,9393699,342206,448716,30695,173079,74657,7190205,28431,103807,471954,387255,1538450,1697642,188518,1761414,658023,623161
Brew-83.d,438552,362239,1117260,323847,107943,399013,75670,119004,11569,212605,143079,120691,64011,179219,649620,,226964,3359035,352258,2649837,116177,259407,53246,60565,32860,114181,52546,1621515,2438519,197638,102314,82209,241313,19467477,10926594,4137552,5836563,1414335,498116,1308900,391622,2795003,7682625,375750,984830,386702,,594204,118049,779780,632238,264240,314507,643950,559628,88564,80125,219342,1136693,396734,343878,960942,161297,7393964,1668639,653410,322162,96700,789737,453439,596385,664635,220525,361886,,157991,26709,2943850,14614,31547,66703,243435,638780,408417,342129,577403,637761,232160
Brew-86.d,539801,488071,1290891,300118,94253,395294,78025,94140,12845,212215,132266,55223,54866,254281,760224,,244469,2100501,473830,2951777,188500,312646,37955,60703,43139,227233,42394,6602555,3475225,437315,233986,96098,244895,18461810,15598584,5448504,8158112,1827520,665344,1861678,503852,4466886,10725490,352307,1812051,605190,59404,932337,169663,1155015,1233785,168759,261822,634974,464306,69549,90292,352476,947757,457667,395336,170918,343005,5077120,995013,381362,303560,111067,784442,334346,42097,1363310,187025,502181,,226335,27129,2207681,5512,32661,,254614,607935,141265,,743787,642408,
Brew-90.d,633831,440769,616994,131969,130083,328802,110497,168580,11517,108808,447086,359479,56848,185734,689280,246617,218465,3233066,345334,1834013,139165,221145,106275,80138,53441,138849,492254,25246254,2955640,1845360,157695,39444,254362,58584835,12715563,5731178,7581309,2253045,786515,1464215,496606,1897015,6055702,352735,797832,465196,93017,650229,164752,4342501,6966412,922252,2133000,1504829,1318385,77621,121445,327716,488369,601389,420658,1987385,180297,11497034,2940329,1127889,498618,199588,1283884,395906,1056454,1081462,240981,440001,140666,264282,76969,2993956,69842,44041,193777,2907022,876406,620605,555843,727323,720382,302518
Brew-91.d,1509837,2137712,3097896,1517385,515986,1234863,502559,598571,46852,501943,912308,172006,427932,355226,814070,436288,1597302,4287191,1852338,1535772,304154,806939,187965,49841,282151,534773,317287,2010402,28037962,199765,101107,314694,2341957,28828952,13694012,5765983,7440299,5236595,1401760,1357071,481677,5363423,13198848,357212,2831545,424620,473834,1572290,369012,6544960,3826297,1261720,873701,2817579,2746171,417363,332210,1193867,7913998,291016,180429,383492,777034,7356280,1559319,1214639,1748033,132539,3800420,4008517,261336,1809622,691785,617151,,202465,160215,15734986,143339,38278,295650,859293,2640459,1714857,,2475295,759272,447111
Brew-93.d,555768,971130,2110482,252382,110271,327935,,116383,12917,112830,157982,90335,83639,262186,712175,205087,213282,2379722,479261,1123088,243723,363255,46582,49245,55047,230924,44435,5720193,3348567,369389,319906,139172,246765,99130457,18496028,6332991,9636070,1957044,732967,2025169,529734,4630252,11249775,350617,866798,524143,87357,1113298,201728,1351877,1447119,162011,266756,645226,442884,58551,86947,374187,782449,442471,410344,203507,327681,6780059,1251787,389377,305088,158179,788254,262679,75807,1468393,305542,445720,18781,217450,19036,2737024,6699,43329,147925,1147318,687277,526306,70125,563998,691805,229695
Brew-96.d,509951,788886,1016268,259944,177997,197250,107494,78927,12961,38414,175022,63583,99999,22970,782250,185425,346677,1417728,503451,1804936,72495,241963,82460,,92740,196937,141823,323902,4950126,34513,44400,64009,827640,97452688,2548269,1138299,1746670,1067575,275687,412185,133760,1497778,4377769,349046,258484,117014,118536,302263,71772,2350221,1331397,535298,413215,1214605,861442,62697,70088,319691,1111457,58626,34613,60762,312492,1619566,363384,267636,467171,38357,1314463,1509087,37795,285505,255632,465402,201730,171699,30568,7757367,37436,11170,145817,290948,732621,477031,86288,615050,664774,
Brew-97.d,784596,831618,2544693,367959,116532,483419,70725,115689,15331,303491,206251,56761,105063,392682,795368,264717,262521,2875404,623495,2915781,274922,421321,49410,83990,44713,300247,25770,15824297,4271150,946816,751265,183593,191872,56249460,26887067,9624400,14053994,2322304,1020040,2669163,770051,6200035,14144199,339500,3284763,845417,107203,1415033,267989,1352290,1946094,103296,232676,610321,388605,90898,43327,380919,1031260,815260,711411,541625,454158,8890171,1690033,458220,385147,147560,855023,288022,165802,2952951,190920,538600,,201323,24184,2365878,8663,59808,217004,440437,784435,658547,100716,763714,714897,164630
Brew-98.d,558304,948281,2972343,297082,118836,331186,74148,110501,14750,102659,91432,81145,59624,251297,766577,,257228,2672846,532636,2019856,194238,404797,40809,66720,48300,278408,44828,5685333,3878206,351493,223078,212958,269166,22949445,16011402,5416192,8118772,2043801,643073,1897809,482140,4949430,11680787,365624,941454,538145,62054,1038419,262033,756525,713774,161019,239669,612722,391664,78220,82492,320936,949192,417169,345953,220059,440119,5441394,1143958,476077,335908,123460,837768,347854,105509,1333147,208146,540932,,199991,27692,3162830,5348,39115,106246,260798,742099,410651,,678782,732307,169396
Brew-99.d,1757494,1742572,2132227,987070,543533,837009,562843,672645,54683,296793,884836,293671,212590,320854,743875,229870,1749339,3941438,2118497,1526494,286438,635084,230825,,483178,586148,367851,1697328,33245110,186724,,211767,3579508,55426256,10538440,5108198,6764015,5179990,1480975,1193260,377410,3637313,10351726,358492,1684579,271861,473449,1110277,330630,6998705,3831513,1671887,1037721,3418421,2987544,345070,232917,1424851,5651023,166402,94151,409583,959275,6878090,1511065,1590000,2471458,139609,4995315,6806541,292254,1524605,893965,462687,,261805,259058,23525215,192295,40143,128022,867967,3159533,1225601,32817,3324847,662276,554117
Brew-BL1.d,,,,,,,7954,,,,,,,,543634,,,,,5347790,,,,,,,,,,,,,,193219,,,,,,,,,,362972,,,,,,,,,,,,,,,27885,,8429,,,34246,,,15312,,,,,,,354112,,176314,,,,,,43079,,,,,737643,
Brew-BL2.d,,,,,,,,,,,,,,,708481,,,,,4747186,,,,,,,,,,,,,,244452,,,,,,,,,,392276,,,,,,,,,,,,,,,37064,,6999,,,33989,,,15383,,,,,,,352723,,176899,,,,,,29720,,,,,708176,
Brew-BL3.d,,,,,,,,,,,,,,,752066,,17927,,,2181041,,,,,,,,,,,4123,,,660028,,,,,,,,,41547,333506,,,,,,,,,,,,,,,,,12270,,,44055,,,23321,,78363,,,,,493889,,160324,,,,,,70599,,,,,585300,
Brew-BL4.d,,,,31201,,,,,,,,,,,837683,,,,,1141374,,,,,,,,,,,,,,988379,33503,7722,,,,,,,52759,346390,,,,,,,4378,,,,,,,,,,7593,,,51811,6063,,27661,,63046,,,,,594254,,172306,,,,,,263485,,,,,503283,
Brew-BL5.d,,11370,,,,,,,,,,,,,841294,,16191,45427,,2395594,,,,,,11055,,,,,6437,,,4376774,71854,30644,64631,,7317,,3485,59568,109052,367691,,,,,,29099,28453,,,,6575,,,,28997,,7150,,,92614,15961,,58534,,189571,,,,,646881,,155135,,,,,,319002,,,,,590588,
Brew-BL6.d,,,,,,,,,,,,,,,1010939,,46161,,,2865006,,,,,,,,,,,2219,,,1395501,,,,,,,,,25586,324368,,,,,,,,,,,,,,,18447,,9392,,,46621,,,23266,,60683,,,,,1060771,,239727,,,,,,120573,,,,,705247,
Brew-L138.d,312469,34582,40860,67236,70595,149725,62175,78631,4567,,181108,211943,,55665,1018752,133431,97298,1801832,60769,1495913,44952,76930,44856,27988,,27766,285577,13854642,885043,850853,17348,,,90018059,4745383,2121654,2861594,920330,278546,562495,214786,878727,2835592,329163,430538,223309,33586,195689,47740,2195616,3160672,462221,1144625,709989,737793,8681,65234,207309,205011,248860,164602,953146,51612,5362606,1390085,574094,185335,102106,540234,158958,628240,366273,123741,916555,,230059,22900,3140463,15048,17593,90529,1172634,404223,249922,623603,321121,692687,74893
Brew-L39.d,305884,203458,152036,52967,61598,113727,85985,270169,8789,2839,169149,82262,,101034,937267,127848,103462,660460,227191,1052873,67352,39945,50829,31825,,60572,273712,11640016,1191882,732050,164721,,139933,89401307,5551056,2636220,3519556,631197,364297,614721,221381,291061,742144,352317,374455,306092,,231673,86282,2594836,3155989,642352,1025898,856658,675177,33724,52894,187608,214826,233353,181618,791035,43984,4671918,1392289,523381,318455,97329,768012,1136522,170171,5629051,277941,532004,29867,166708,40677,4013191,11277,20531,149156,1480332,759036,490995,951717,305894,589222,422251
Brew-L41.d,380001,118907,67729,60039,68702,122437,90973,117121,7211,,134462,99817,,123403,769083,118361,91756,838658,185720,1098754,52651,42125,53153,24928,,34647,332422,25085127,1030124,1700262,48458,,89122,89148365,4146307,2110540,2852471,748034,263889,509467,190260,240927,1116468,330347,3646953,265295,,168556,78480,2662591,3420632,648033,1140439,841988,706386,15916,39170,151986,169661,206910,161608,817451,63763,3785261,1088008,486557,325939,84089,848227,413820,295994,1792673,192208,526983,48053,180302,101117,3548481,14812,15956,166067,1066694,607005,430960,1047387,333226,806308,222392
