,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93
"Instant,Blend,Medium",748840,638077,403846,444852,164994,387958,64940,163082,1,350008,24833,79016,531723,196419,881825,1471568,2775101,1,1,256754,134380,111561,1,4410940,124891,459795,29240243,1,1,179238,17206,25095880,12061885,15324704,2780493,928190,1492135,5348582,5292862,818141,1251940,406414,5742898,10117366,1002460,2921937,1840535,4484930,1,91971,1268425,1000990,6022989,2936299,1122067,399552,20126165,5334790,1464926,459336,507580,1016507,2766741,337308,385176,1,218982,1,2195255,370378,2526822,128575,1416743,349598,1141662,3489738,1097245,348206,56599,16959,224196,409985,1,319337,1,365641,14045,2498491,280151,720141,362014,188868,84004
"Instant,Blend,Medium",594979,432520,402897,491628,116806,198336,91561,143928,145798,283994,33350,55522,555006,157906,812154,2152431,2659973,176215,1646790,225022,1,116774,1,4667635,109396,481281,28913677,1,1,152637,30123,20988596,9167332,12329936,2213922,800386,1456479,5185393,529239,759778,957566,263863,4930794,7658385,1006120,2438416,1527334,3435340,1,64657,997913,779828,3083577,3030736,803581,697758,16563817,4144834,1192467,426265,315126,675664,2301616,219034,597812,1,245911,1,1558738,297058,1200587,50368,1109831,300206,725889,1492528,1119653,244542,1,11643,193852,318561,1,313202,120611,39992,171625,1214488,416019,537066,170776,149345,64047
"Instant,Blend,Medium,Decaf",687724,83692,91366,369704,162676,881381,202746,186902,232531,301850,45584,57698,528299,423702,976947,1379458,2184086,1066892,2591395,103143,1,42138,1,4585161,1,917326,21707454,3955910,1,37155,1,5040173,2498437,3579908,1782811,517462,569301,2511199,5036554,394648,404711,150136,6158556,7177481,1856866,2629205,1879683,3867287,104588,1,142782,113929,480910,808410,328480,117331,5587660,1685275,1125120,857086,74536,217910,470027,314839,127198,1,237963,1,5278386,75542,2163944,1,841783,48702,266892,89548,2086198,363255,1,12226,204425,418596,119862,644834,84271,1,1,1,293393,660051,784356,179535,37592
"Instant,Blend,Medium,Decaf",918646,314193,657667,480013,111863,257548,167410,401360,1,326044,19823,57131,619714,253314,1162549,1387515,3270232,245836,1,203797,1,148646,1,4529994,116069,837499,20349606,3654272,1,79454,46349,15395936,7218258,9429088,2973991,979844,1127853,4838280,1624105,986970,808137,212833,5334799,8376258,1825191,3449352,2251829,4426569,49745,132058,647963,505655,986141,1624146,629897,1516315,12564804,3302550,1545894,608708,68752,689593,1611239,343912,443378,1,243264,1,1798032,761432,2752025,59281,1000357,167498,824794,756256,529955,456630,1,21195,91580,167097,1,313998,1,1,128662,1,329407,676100,147946,181667,60891
"Instant,Blend,Medium-Dark",685549,430272,739384,368928,252040,925417,78200,111236,247073,392460,52429,69283,567185,374283,860441,1671430,2602196,531570,1,120750,340975,184907,1,4973880,225333,644505,23095352,4229407,1,173339,58330,7908967,3655857,5101606,1848486,609959,1481509,5160972,1,319957,687008,205890,5021863,7442905,1097274,2437634,1781812,3530941,120906,196329,287603,191441,831723,1074026,410816,177388,6368062,1749227,882563,632396,120645,692907,1015289,252036,391925,75364,225509,1,3012578,258912,4111384,1,1008193,72329,346184,569429,1022125,307046,1,13854,187716,422694,131565,307332,43410,97918,69699,39821,294156,549305,712427,201715,37094
"Instant,Blend,Medium-Dark",562005,247178,231928,502759,203405,272948,1,1,1,396689,54431,84590,692672,220846,766689,1137180,3866431,1208057,2101218,141046,1,100922,3557,4729664,67254,430638,27045095,2549366,162364,62397,1,13211066,5647539,7743875,2233862,757400,2367143,7123892,3025901,512068,600922,133952,3886103,5894040,703420,1986883,1145526,3071367,64407,150123,659828,504426,2840134,1436985,508138,1624495,11528921,2811402,1092046,434213,178061,1789237,983414,1,533957,1,243574,1,1,237184,2204658,38453,971641,176716,421628,797456,987872,351349,1,1,165306,359697,1,347116,1,1,158470,32813,404021,455533,155283,171609,58415
"Instant,Unk,Unk",515057,84278,78965,421179,77703,340275,61959,127045,1,389254,23963,72877,1010018,190265,577361,1230085,3118878,836029,1214014,111762,93911,162301,3699,4545193,38535,485322,20983860,1,1,1,1,8945213,3956630,5433945,1545088,524608,1283629,4489371,1,405790,388559,104329,3844742,5566994,778997,1908071,1131060,1235936,41242,92225,415278,315303,1823536,979702,332586,1353046,9289375,2409958,1021024,354486,178458,1261552,758755,202378,828143,1,253146,1,5482062,259934,2578637,38064,811304,107852,398302,1122338,989060,1,49455,7567,180418,388556,1,162843,1,1,56722,33857,409332,402454,237754,117533,38531
"Instant,Unk,Unk",308408,191067,149554,405935,196173,1,153267,234157,1,76540,1,84861,960166,215075,289639,1,685464,889217,1866489,124431,18935,17581,1,4181515,9670,264008,10075587,1,1,180325,23178,5648818,2634595,3498300,707511,236398,714388,714008,7443,282949,254544,118734,2450793,3006170,614202,978641,849873,644371,18939,32188,267245,208929,759512,870371,224348,1503148,4363432,1300151,503231,320911,83427,148307,5759290,293099,592973,1,253420,1,3958529,306090,1395849,49061,806215,65230,592258,976096,1266010,778838,1,8158,124346,124346,1,291212,50589,19822,100981,404823,355779,1,2280761,123917,27639
"Instant,Unk,Unk",399958,132547,78738,403700,53615,1,1,120468,1,151902,1,62474,854221,139578,374053,3809798,984299,2956165,1012237,116581,1,62900,1,4119819,42874,393899,25890330,1,1,101289,342,4828158,2407953,3470750,859017,291932,242954,1143612,1444521,322609,231801,82220,2907264,4171795,736708,1257072,919151,725568,1,1,238443,182911,895806,566026,210670,340350,4162018,1287329,596816,372581,103746,312636,2207630,180686,166690,1,244139,1,3328776,249694,1031770,27685,842678,57700,606222,1287101,1514713,581871,27103,8958,166819,166819,1,198572,62784,1,40336,309232,321392,403045,1333705,150596,24030
"K-Cup,Arabica,Medium",1031062,856019,1607235,446821,754499,3068271,255941,176101,601472,173207,148850,83069,491788,630177,1166720,2316678,3587402,1435360,1,241848,546920,202122,1,1,299829,80499,1,9974115,1,216689,143563,16532763,5491868,8544374,3468990,956859,5079520,12531289,4249700,513948,1214600,289375,2890674,2238055,399811,405533,1244555,815446,207831,172354,306374,255217,347232,2698741,553364,658067,6542559,1321702,785493,815372,119510,153654,1643509,388192,366655,179609,222129,40192,5164672,339401,295464,44351,1500764,105579,740372,250541,1015220,414551,1,23575,242523,290851,149116,239726,6708,1,131936,1,299307,1,501918,375406,51493
"K-Cup,Arabica,Medium",916902,902329,2083403,529002,568797,2242386,1,205211,610694,167935,153011,72211,766951,496399,1015376,2340888,3509317,1533885,1,163786,559983,179261,1,4798089,264843,80139,1,7694473,34449,280505,146027,21142605,7072528,10529330,3638488,1088792,5828808,14189517,3914747,607133,1279634,233761,2211084,1936420,278221,372031,1038772,942735,149734,165340,491010,411017,364620,2437599,519648,643251,6767766,1320457,631716,591124,154710,189983,2163500,310200,506378,1,233470,34954,6766211,318346,291965,14274,1126746,186416,776095,126532,1242043,436679,1,22587,272691,317142,117185,1,1,85514,194401,160037,417970,807375,373385,438762,55128
"K-Cup,Arabica,Medium",787453,558953,1350380,411709,364372,1384990,1,168550,345779,88753,94297,63394,817976,404005,977736,1506229,3357415,877565,1430036,130487,596505,121312,1,4371645,237952,50283,1,6659882,1,194715,96297,18732612,6120477,9667620,3292025,975788,5232329,13008262,54019,583791,1082453,191565,2249485,1974099,233326,306956,951851,736262,82148,94170,402029,333104,359081,2715432,539220,811263,6726422,1357558,655472,565489,83835,139396,1656890,278801,642276,1,228524,69771,4684670,277550,342352,1,1016495,208717,588802,80819,1245687,287394,74759,18327,207686,182864,1,1,1,1,172780,9193,470541,557606,235492,359831,67442
"K-Cup,Arabica,Medium,Decaf",933167,1293516,2403879,517375,536786,2147491,304771,347328,738414,169257,138852,58454,876115,1082123,1652593,892092,2803941,1555667,792125,118936,984499,198944,17519,1,393850,270155,1,10980736,74494,50440,179846,10008551,3873187,5817699,3536758,889076,3316698,8984239,2983049,319147,1196466,325479,4557070,2761832,1015683,789394,2157500,1253569,123508,1,208766,107642,154850,1534145,249677,787048,4645636,1034346,913408,1003253,79382,91730,1415260,476094,733759,1,253837,115501,19136772,148696,955551,1,1665373,27246,585472,61296,882403,449461,22300,33925,320794,487426,295086,266891,49173,1,22346,52440,470305,812069,2086506,526763,38738
"K-Cup,Arabica,Medium,Decaf",1086589,672365,1137844,369699,607152,2524373,279143,207916,519794,124793,108979,65111,574997,702127,1413993,2123726,3417065,1015864,1,197206,482205,139671,3402,4661346,321198,89388,1,10589182,1,77328,86257,15692070,5531702,8236398,3776498,1061872,4515715,11559234,1,525262,1128593,231206,2700003,1970562,433289,458971,1350321,863569,141641,125794,305190,219732,179908,2169175,487997,866201,6229037,1297080,895402,817442,87552,48666,1878001,405001,425900,1,229433,74616,7604303,106541,331408,10248,1912686,36391,142519,51826,1148599,318436,1,27542,254742,221285,159628,439675,1,99612,83482,1,256306,143030,637313,523313,55459
"Percolated,Arabica,Medium",625440,1032354,2613917,125188,245109,814213,1,114601,1,72117,72843,77657,899840,275933,739676,1551805,2946982,531584,1012240,212484,405030,138659,1,4508881,269321,19545,1,3096804,1,547874,184087,27053827,9607830,15111173,2486037,1025748,6072163,14465742,1547167,846586,1634014,305962,1407451,1865324,108708,226901,591642,680527,44310,75248,912704,869361,437139,3844186,811472,1679671,9763271,1688499,458424,379334,147979,102890,2931821,170875,767193,1,251663,22270,4246440,308159,563648,4440,822849,255421,604439,369641,922057,1,84268,12473,268965,141488,1,1,1,20105,273959,35820,518914,120269,230547,384080,68559
"Percolated,Arabica,Medium",650461,1258855,2682102,444163,382346,1165520,1,128012,340996,137262,110852,96463,1012578,267629,717142,1197395,3432792,1034797,959648,155375,621641,117921,13218,4386586,302164,1,3793080,3944763,1,432577,194497,22484889,7779879,11532284,2691165,878719,6165434,14647486,839201,661525,1468334,294061,1630185,1840695,191003,323009,731478,583143,87625,167114,682947,586163,293566,2389998,687115,571455,8750929,1651846,527824,417034,193101,102078,2078509,212383,881564,1,249809,1,5598689,265391,551438,17703,1040130,191644,683953,120080,1392546,358360,1,14311,239045,257585,1,608058,1,74857,172631,1,447507,437356,98032,323057,72328
"Percolated,Arabica,Medium",652830,1043352,2782298,410909,355459,1337277,85784,173472,202884,89933,138368,94406,645815,345937,789425,2102357,3709760,900038,1,134927,563383,128201,1,4727810,298870,52961,3173109,5571060,1,626602,194290,25795078,8988464,13816283,3392927,1048728,6548936,15452805,1,691312,1516836,297045,1769811,1846021,174050,286354,749756,767792,91821,74264,827367,752976,327599,3149761,701453,901954,8784769,1654261,581901,372585,155614,142944,2396254,191108,453437,1,246943,53973,3263824,226230,250379,13096,1148530,279369,641354,200927,1256671,1,71022,18017,235552,219727,1,1,76082,75357,191512,10946,348762,610679,131379,468740,85251
"Percolated,Blend,Medium",644759,757473,1418629,395402,425479,1454420,77666,130626,438593,265109,171329,63068,833977,388312,649857,1506508,5452977,744033,1765004,162417,662342,77449,4832,4689405,211583,88201,1736619,3906961,23293,145603,92771,18549330,7090363,10277982,2325873,788162,4548366,11855940,1,449187,1047386,241675,2604183,2189481,390100,444399,870673,865510,93228,217372,798142,600507,2705617,2536129,604503,366922,13573293,2820831,911059,449744,247899,1052649,1450599,270963,668827,1,258348,34050,6125762,311695,371451,34858,1216692,274169,715094,1017477,1151827,1,2899,13426,316488,376315,113357,1,60229,39650,166681,401177,407085,328573,378873,210192,69240
"Percolated,Blend,Medium",650693,669489,1728879,19745,286212,1046064,62110,137772,229499,204052,126383,92371,900241,283595,645226,1479144,5310594,1029193,675347,193864,658360,84883,1,4733603,198850,54678,1,3133229,1,273198,120010,24368835,9102614,12380431,2344363,896950,5508519,13779974,2354076,593856,1246743,230558,2142496,2129415,243224,376314,738840,996742,1,145440,1036845,824011,2320654,2283289,753255,408404,14950841,3099418,785746,383627,268751,992648,2391945,258588,739492,60250,254705,1,5533459,357851,415234,20327,1235157,304573,727406,588352,1069713,444738,73251,15118,353942,286933,1,1,60830,1,184266,40494,533845,510869,176291,197171,73450
"Percolated,Blend,Medium",680649,669616,1583748,326664,394290,1881281,1,149751,415675,311178,243981,116779,588392,385930,658652,2252821,6033334,804776,1,204834,614426,90006,1,5387452,172711,114636,1,3785588,1,400392,131645,16459399,6325774,8866135,2421795,757216,4593480,11911906,1628424,386039,1027808,227289,2720160,2118666,416430,436543,817369,923306,153318,223300,594212,475546,1968606,1857177,629402,668434,11328847,2498946,917312,464704,262895,1344560,1397808,316906,396122,151713,260608,44845,4259597,231366,328999,26352,1181568,207286,921284,694511,1249080,531144,1,16850,378604,537801,154171,197427,75740,25144,149187,27587,350297,689735,358178,164981,54176
"Unk,Arabica,Medium,Decaf",568926,985442,3043730,1,351975,1230146,1,87206,294148,83325,50394,46673,758145,314001,670797,1736034,2792028,1162214,1,172925,401495,69970,37083,4695238,264790,28737,1,4031105,1,230459,207743,15718461,5224252,8524233,1836780,640927,5037820,11808980,7284,542774,1263053,208002,739165,687977,144533,246904,600817,605570,79709,79702,506757,403503,266043,1811734,467339,433067,5683798,1097540,430080,341767,107160,97235,1399990,204825,493302,1,272312,1,1952065,137901,268321,1,864887,129801,436212,140291,1602444,131701,11633,14714,129992,122397,1,1,1,1,134245,1,323683,299742,187643,339699,53149
"Unk,Blend,Dark",477176,499571,1159548,359463,297354,1218731,1,92270,293372,115187,108995,55012,703329,323230,552852,941380,2410203,1066749,2103145,184988,395811,50905,1,4315603,158008,71821,1196320,3238320,144254,102870,90232,8620328,3192115,4877043,1359978,440886,2491831,6782403,1067322,340878,662361,139944,1872300,1414238,333020,354162,774531,657412,99004,1,216811,187958,529223,1085182,325635,99487,4597376,1100003,510669,398442,88386,319052,979213,208474,458559,150808,253449,37763,5102033,327397,408577,3870,966617,96684,504773,616693,962793,236136,1,10345,182453,212582,60553,1,34057,1,1,76757,320328,224160,328720,229236,35436
