,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93
"Filter,Arabica,Medium,Decaf",899238,836740,1682159,433429,653477,2509271,277895,239990,512696,135423,134850,78159,900216,776161,1292708,1077458,2292821,983983,1010660,122155,653285,137260,1,4818885,291054,172931,1,10083097,1,43302,127063,8013772,3694411,4975771,2653157,781323,2457146,7346220,478356,99316,880856,198976,3388731,2220261,744679,657740,1656097,1343532,127683,1,259792,95694,171719,1330893,334235,1983970,3851369,1069684,758047,809194,65656,115999,1529548,404135,579593,1,239216,1,15148691,126201,586231,1,1510295,123154,425263,59228,1455842,228708,8525,23054,222420,293127,205662,373742,1,1,26294,1,298531,547175,1235291,424811,39844
"Filter,Arabica,Medium,Decaf",542744,849872,2383258,418716,291144,910630,130654,75676,1,71097,41537,63216,1106830,311002,616555,1189014,2056383,1279049,806922,143406,332659,67424,16736,4413864,239773,38866,1,3200644,1,172511,146305,12559904,4244473,6652001,1453784,491960,3916183,9576698,19388,492428,1066282,205315,756707,683697,150417,240378,613751,383459,46842,91352,307949,277581,173280,1476804,443001,687037,4478355,960997,355726,333434,101000,81015,1872088,214842,1338463,1,259472,1,6982463,135845,324056,9072,752720,99998,444474,30888,1010677,243363,47714,15533,130643,90004,1,222948,43690,1,111403,1,412969,540839,1,325939,49713
"Filter,Arabica,Medium,Decaf",553544,486638,1252917,223390,244263,882569,1,92176,262275,51919,53880,79500,842863,297749,739336,1631562,2140388,675145,1,164451,322253,42642,1,1,224171,24037,6432396,3207684,1,236372,87971,15835964,5239783,8092525,1750362,629642,4409552,10775502,1734175,637642,935711,195562,1128153,1232734,173299,287225,621649,685387,1,98680,446717,393196,143388,1793847,494109,340777,4954620,983670,369949,332930,99615,41411,1646668,158963,633797,1,258561,36479,2410430,97878,198887,10019,645018,147669,172357,100847,1310188,1,8881,1,197195,123947,1,152724,1,1,159464,1,418105,418500,229733,281531,63280
"Filter,Blend,Dark",482892,578734,1382673,374990,394210,1392524,1,101379,271345,111591,116319,47070,645031,351796,549390,1495040,2759328,1171739,2883090,158436,502815,59548,10595,4469508,156992,82735,1400263,3491733,22393,140703,104392,9064089,3274076,5189072,1536202,436786,3043767,7918043,1,342105,667316,162746,1801924,1394016,339196,347087,742843,652777,108141,1,246776,198228,564057,1044272,305607,623881,4197386,928633,479556,376213,80666,358469,1133011,210991,475788,143788,241426,21361,3206835,289189,192753,1,866869,94348,547303,444237,704147,1,48691,1,180059,244583,140418,129322,1,44151,1,67600,354336,354704,387174,164873,40728
"Filter,Blend,Dark",584438,1023052,2375420,477887,338324,1120529,1,143415,219024,290883,165699,64603,649957,376787,634880,1417521,5456094,1037763,67828,166389,765083,86014,1,4634808,285791,118962,1,3050157,1,477364,177971,23682880,9210447,12639538,3150383,1000649,5161743,13074429,25233,406362,1427505,288592,2548857,2118158,411602,390073,801222,912731,95003,100354,925245,732007,1839490,2091944,724931,289581,13558551,2876396,1100694,422856,258594,1009369,1626161,276273,463061,93785,241028,1,5427015,895690,418746,1,1072231,299559,644344,834341,842116,187665,1,17781,266137,333773,99732,367883,75311,1,1,223903,240312,408469,320464,175875,81405
"Filter,Blend,Dark",547365,836555,1056016,423663,412768,1344861,212543,86456,384027,72188,103492,58888,910830,449523,685542,230618,1493742,1162805,1339745,78861,417088,121893,1,4710049,193781,158510,1,5146309,24447,42247,71520,3221199,1392096,2237814,1337551,319124,1558920,4813424,3827,179362,433938,89796,2492987,1511206,554978,441364,1226284,560550,65679,80625,80787,66324,60359,434405,131869,1685462,1882262,515998,381504,532130,41588,46528,319071,258066,594396,198875,252616,48837,8359788,198253,521402,5602,1026882,1,573586,364252,1120542,251110,125411,10196,105808,231511,54478,125917,5802,1,8740,1,373756,494818,1053217,233037,17738
"Filter,Blend,Light",416264,216011,442220,1,404994,1034079,1,97751,1,166473,140172,107716,1147880,208769,424935,1244835,4400779,292137,2272128,108809,313226,40077,1,4356751,78251,88486,1597105,1,9622,110667,28114,16153778,6046179,8815225,1480824,516246,3398782,9024356,1047072,609869,689027,112644,2132900,1977654,338743,436115,636541,871729,1,88982,851383,774848,2977322,1978725,583852,188891,12158527,2578276,685690,254556,260058,1586111,1185129,204545,1464439,1,266197,58519,6470244,292172,286514,11335,982039,260961,607599,1202465,1365197,375300,1,1,238548,338860,1,1,1,19955,146326,35907,360987,306625,159373,94389,61921
"Filter,Blend,Light",606233,1018220,2398219,418732,322372,943340,1,119121,284399,281437,156234,113374,641658,315643,695920,1404690,5842475,457514,55111,180442,613542,110007,1,4648703,276238,56931,1,3427135,17070,409352,174224,30099387,11741932,16083502,3427189,1205788,6166231,15349752,4661719,608244,1588566,377847,2362973,2265759,270722,371786,757457,999319,85827,1,1284382,1067527,2916883,3567268,810923,667338,17552941,3709355,1020963,359259,303113,1023961,1990618,227612,136018,208458,233299,40642,4699243,413308,306993,34495,1070219,415689,762996,809356,861279,350409,20109,18849,320342,296543,63637,173133,1,62991,263690,410865,332459,568154,284083,245284,82560
"Filter,Blend,Medium",480683,584473,1052121,374872,378811,1165171,1,64497,361275,150728,143985,80565,1333455,326533,496989,1215608,3934499,563932,1472782,129780,519553,62068,1,4830076,144786,63191,1387885,3172407,1,100447,71460,12800827,4525837,6861020,1545832,513592,3756160,9604241,10588,328753,778451,157055,1991503,1684254,295972,336020,716035,689106,83000,111907,487600,403056,1821658,1489897,435076,338219,8920078,1818060,605759,373088,188846,756617,1316985,227080,1576074,63017,272062,23316,7310373,264205,411609,22758,1061732,167266,539662,877105,1221213,1,1,12115,237009,280012,72478,253781,49143,1,110316,255411,350455,497382,246354,174624,54622
"Filter,Blend,Medium",550660,650134,1524836,494805,281521,1175277,1,120111,315663,250598,192903,56870,710855,344690,574258,1322051,5563544,896162,2390090,211584,601375,91282,57782,4788890,173986,90027,1,2657899,16683,381067,104733,16029509,6131738,8874428,2225688,712915,4177445,11188746,3986614,341860,969042,107745,2637396,2068293,420780,411815,805191,877650,87326,27625,432771,267577,1109786,2310626,511551,217547,10653400,2407081,899253,416852,270186,821354,1255669,344051,514684,227422,247855,1,6799372,529274,2433624,22435,1029599,150057,894212,645356,708420,1,73036,16443,276857,381799,64794,1,61294,25630,1,36101,346423,106894,250877,126262,69155
